period,org_code,parent_org,org_name,att_type1,att_type2,att_other,att_booked_type1,att_booked_type2,att_booked_other,over4hr_type1,over4hr_type2,over4hr_other,over4hr_booked_type1,over4hr_booked_type2,over4hr_booked_other,wait_4to12hr_dta,wait_12plushr_dta,emerg_admit_type1,emerg_admit_type2,emerg_admit_other,other_emerg_admit,period_clean,month_date,months_reported,trust_short
MSitAE-APRIL-2022,RLQ,NHS ENGLAND MIDLANDS,WYE VALLEY NHS TRUST,5536,0,0,139,0,0,2236.0,0,0,31,0,0,179,270,1257,0,0,388,APRIL-2022,2022-04-01,48,Wye Valley
MSitAE-APRIL-2022,AD913,NHS ENGLAND LONDON,BECKENHAM BEACON UCC,0,0,3426,0,0,252,0.0,0,219,0,0,28,0,0,0,0,0,0,APRIL-2022,2022-04-01,47,Beckenham Beacon Ucc
MSitAE-APRIL-2022,AJN,NHS ENGLAND NORTH EAST AND YORKSHIRE,WORKINGTON HEALTH LIMITED,0,0,312,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,APRIL-2022,2022-04-01,48,Workington Health Limited
MSitAE-APRIL-2022,C82010,NHS ENGLAND MIDLANDS,OAKHAM MEDICAL PRACTICE,0,0,208,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,APRIL-2022,2022-04-01,9,Oakham Medical Practice
MSitAE-APRIL-2022,C83023,NHS ENGLAND MIDLANDS,SLEAFORD MEDICAL GROUP,0,0,509,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,9,APRIL-2022,2022-04-01,48,Sleaford Medical Group
MSitAE-APRIL-2022,NJS05,NHS ENGLAND MIDLANDS,LOUGHBOROUGH URGENT CARE CENTRE,0,0,4485,0,0,493,0.0,0,467,0,0,0,0,0,0,0,0,0,APRIL-2022,2022-04-01,48,Loughborough Urgent Care Centre
MSitAE-APRIL-2022,NL7,NHS ENGLAND MIDLANDS,ASSURA VERTIS URGENT CARE CENTRES (BIRMINGHAM),0,0,4619,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,APRIL-2022,2022-04-01,47,Assura Vertis Urgent Care Centres (Birmingham)
MSitAE-APRIL-2022,NNJ0H,NHS ENGLAND MIDLANDS,LLR EA - THE MERLYN VAZ HEALTH & SOCIAL CARE CENTRE,0,0,153,0,0,1424,0.0,0,0,0,0,0,0,0,0,0,0,0,APRIL-2022,2022-04-01,48,Llr Ea - The Merlyn Vaz Health & Social Care Centre
MSitAE-APRIL-2022,NNJ12,NHS ENGLAND MIDLANDS,MARKET HARBOROUGH,0,0,121,0,0,344,0.0,0,0,0,0,0,0,0,0,0,0,0,APRIL-2022,2022-04-01,48,Market Harborough
MSitAE-APRIL-2022,NNJ13,NHS ENGLAND MIDLANDS,MELTON MOWBRAY,0,0,24,0,0,124,0.0,0,0,0,0,0,0,0,0,0,0,0,APRIL-2022,2022-04-01,48,Melton Mowbray
MSitAE-APRIL-2022,NNJ14,NHS ENGLAND MIDLANDS,OADBY,0,0,525,0,0,1907,0.0,0,0,0,0,0,0,0,0,0,0,0,APRIL-2022,2022-04-01,48,Oadby
MSitAE-APRIL-2022,NNJ15,NHS ENGLAND MIDLANDS,OAKHAM,0,0,59,0,0,400,0.0,0,0,0,0,0,0,0,0,0,0,0,APRIL-2022,2022-04-01,48,Oakham
MSitAE-APRIL-2022,NQT10,NHS ENGLAND SOUTH EAST,ASSURA READING LLP,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,APRIL-2022,2022-04-01,12,Assura Reading Llp
MSitAE-APRIL-2022,NQT5F,NHS ENGLAND NORTH WEST,SKELMERSDALE WALK IN CENTRE,0,0,1540,0,0,0,0.0,0,25,0,0,0,0,0,0,0,0,0,APRIL-2022,2022-04-01,48,Skelmersdale Walk In Centre
MSitAE-APRIL-2022,NQT5H,NHS ENGLAND SOUTH WEST,PAULTON MEMORIAL HOSPITAL,0,0,672,0,0,0,0.0,0,13,0,0,0,0,0,0,0,0,0,APRIL-2022,2022-04-01,48,Paulton Memorial Hospital
MSitAE-APRIL-2022,RAX,NHS ENGLAND LONDON,KINGSTON AND RICHMOND NHS FOUNDATION TRUST,7012,0,2819,205,0,70,2796.0,0,93,59,0,3,493,180,2206,0,209,455,APRIL-2022,2022-04-01,48,Kingston and Richmond
MSitAE-APRIL-2022,RGP,NHS ENGLAND EAST OF ENGLAND,JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,5851,0,1199,177,0,1,2124.0,0,3,50,0,1,462,306,1484,0,0,420,APRIL-2022,2022-04-01,48,James Paget University Hospitals
MSitAE-APRIL-2022,RTP,NHS ENGLAND SOUTH EAST,SURREY AND SUSSEX HEALTHCARE NHS TRUST,9376,0,1131,78,0,0,2939.0,0,0,3,0,0,1409,0,2324,0,0,356,APRIL-2022,2022-04-01,48,Surrey and Sussex Healthcare
MSitAE-APRIL-2022,RW1,NHS ENGLAND SOUTH EAST,SOUTHERN HEALTH NHS FOUNDATION TRUST,0,0,1705,0,0,0,0.0,0,17,0,0,0,0,0,0,0,1,155,APRIL-2022,2022-04-01,30,Southern Health
MSitAE-APRIL-2022,RWY,NHS ENGLAND NORTH EAST AND YORKSHIRE,CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST,13642,0,0,0,0,0,3732.0,0,0,0,0,0,727,0,2847,0,0,769,APRIL-2022,2022-04-01,48,Calderdale and Huddersfield
MSitAE-APRIL-2022,RYY,NHS ENGLAND SOUTH EAST,KENT COMMUNITY HEALTH NHS FOUNDATION TRUST,0,0,6120,0,0,0,0.0,0,31,0,0,0,0,0,0,0,0,0,APRIL-2022,2022-04-01,48,Kent Community Health
MSitAE-APRIL-2022,Y02532,NHS ENGLAND NORTH WEST,MIRIAM MINOR EMERGENCY,0,0,1795,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,APRIL-2022,2022-04-01,48,Miriam Minor Emergency
MSitAE-APRIL-2022,Y03218,NHS ENGLAND LONDON,THE PINN UNREGISTERED WIC,0,0,2203,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,APRIL-2022,2022-04-01,48,Pinn Unregistered Wic
