trust_short,att,breaches,months,breach_rate,band
Airedale,273671,118071.0,48,43.14340942226249,E. 40-45%
Alder Hey Children's,276505,51942.0,48,18.785193757798233,A. Under 25%
Ashford and St Peter's Hospitals,446311,181587.0,48,40.68620311845327,E. 40-45%
"Barking, Havering and Redbridge University Hospitals",607247,315329.0,48,51.92763405994595,G. Over 50%
Barnsley Hospital,411064,140265.0,48,34.12242375883074,C. 30-35%
Barts Health,1173746,530927.0,48,45.23355138164475,F. 45-50%
Bedfordshire Hospitals,771881,216209.0,48,28.010664856370347,B. 25-30%
Birmingham Women's and Children's,245874,49250.0,48,20.0305847710616,A. Under 25%
Blackpool Teaching Hospitals,409679,190429.0,48,46.48248994944822,F. 45-50%
Bolton,409942,192313.0,48,46.91224612262223,F. 45-50%
Bradford Teaching Hospitals,462136,126724.0,48,27.421365139266364,B. 25-30%
Buckinghamshire Healthcare,466179,180740.0,48,38.77051518837185,D. 35-40%
Calderdale and Huddersfield,727124,194917.0,48,26.806569443451185,B. 25-30%
Cambridge University Hospitals,491058,169238.0,48,34.46395334156047,C. 30-35%
Chelsea and Westminster Hospital,924649,185521.0,48,20.06393777530717,A. Under 25%
Chesterfield Royal Hospital,283858,135241.0,48,47.64389236871957,F. 45-50%
Countess of Chester Hospital,281238,138612.0,48,49.28636955176754,F. 45-50%
County Durham and Darlington,605239,277889.0,48,45.913928216787085,F. 45-50%
Croydon Health Services,613371,220217.0,48,35.902740755594905,D. 35-40%
Dartford and Gravesham,540543,169536.0,48,31.364017293721314,C. 30-35%
Doncaster and Bassetlaw Teaching Hospitals,634727,244210.0,48,38.4748088548305,D. 35-40%
Dorset County Hospital,204485,81906.0,48,40.05477174364868,E. 40-45%
Dudley Group,451278,155486.0,48,34.45459339919074,C. 30-35%
East Cheshire,205027,100334.0,48,48.936969277217145,F. 45-50%
East Kent Hospitals University,658004,310755.0,48,47.226916553698764,F. 45-50%
East Lancashire Hospitals,584414,213513.0,48,36.534545715879496,D. 35-40%
East Suffolk and North Essex,643609,306805.0,48,47.669470128602924,F. 45-50%
East Sussex Healthcare,430791,177610.0,48,41.228809329814226,E. 40-45%
East and North Hertfordshire Teaching,442005,238883.0,48,54.04531622945442,G. Over 50%
Epsom and St Helier University Hospitals,566484,157119.0,48,27.735823077086025,B. 25-30%
Frimley Health,1023602,316793.0,48,30.948845352002046,C. 30-35%
Gateshead Health,283300,121448.0,48,42.86904341687257,E. 40-45%
George Eliot Hospital,312161,100351.0,48,32.14719327526501,C. 30-35%
Gloucestershire Hospitals,602575,241875.0,48,40.14023150645148,E. 40-45%
Great Western Hospitals,262956,124253.0,48,47.252392035169386,F. 45-50%
Guy's and St Thomas',536114,196146.0,48,36.5866215021432,D. 35-40%
Hampshire Hospitals,550025,223239.0,48,40.58706422435343,E. 40-45%
Harrogate and District,232139,72935.0,48,31.418675879537687,C. 30-35%
Hillingdon Hospitals,278470,151531.0,48,54.41555643336805,G. Over 50%
Homerton Healthcare,514535,97266.0,48,18.9036703042553,A. Under 25%
Hull University Teaching Hospitals,476990,259421.0,48,54.38709406905805,G. Over 50%
Imperial College Healthcare,574316,173700.0,48,30.24467366397593,C. 30-35%
Isle of Wight,188594,78870.0,48,41.81999427341273,E. 40-45%
James Paget University Hospitals,331845,128593.0,48,38.7509228706173,D. 35-40%
Kettering General Hospital,452173,132601.0,48,29.32528036835459,B. 25-30%
King's College Hospital,723975,345747.0,48,47.756759556614526,F. 45-50%
Kingston and Richmond,338597,164252.0,48,48.50958514103787,F. 45-50%
Lancashire Teaching Hospitals,545191,206595.0,48,37.89405914624416,D. 35-40%
Leeds Teaching Hospitals,834476,361365.0,48,43.304420977955026,E. 40-45%
Lewisham and Greenwich,684875,348321.0,48,50.85906187260449,G. Over 50%
Liverpool University Hospitals,776639,369718.0,48,47.60487176152627,F. 45-50%
London North West University Healthcare,622336,312089.0,48,50.14799079596873,G. Over 50%
Maidstone and Tunbridge Wells,862871,164070.0,48,19.014429735151605,A. Under 25%
Manchester University,1194911,564728.0,48,47.26109308559383,F. 45-50%
Medway,414498,158576.0,48,38.2573619173072,D. 35-40%
Mid Cheshire Hospitals,335308,186172.0,48,55.522683622221955,G. Over 50%
Mid Yorkshire Teaching,792079,222222.0,48,28.0555348645779,B. 25-30%
Mid and South Essex,1415351,493784.0,48,34.88774162734191,C. 30-35%
Milton Keynes University Hospital,385405,145217.0,48,37.679064879801764,D. 35-40%
Newcastle Upon Tyne Hospitals,585145,227231.0,48,38.833280639841405,D. 35-40%
Norfolk and Norwich University Hospitals,547921,207294.0,48,37.83282626510026,D. 35-40%
North Bristol,417521,151171.0,48,36.20680157405256,D. 35-40%
North Cumbria Integrated Care,417941,177827.0,48,42.54835012597472,E. 40-45%
North Tees and Hartlepool,218210,82148.0,48,37.6463040190642,D. 35-40%
North West Anglia,644554,285996.0,48,44.371146560257166,E. 40-45%
Northampton General Hospital,458164,188073.0,48,41.049274932120376,E. 40-45%
Northern Care Alliance,1196374,530215.0,48,44.31849906467376,E. 40-45%
Northern Lincolnshire and Goole,554241,239234.0,48,43.1642552607981,E. 40-45%
Northumbria Healthcare,462882,109802.0,48,23.72138039500348,A. Under 25%
Nottingham University Hospitals,703800,265133.0,48,37.671639670360896,D. 35-40%
Oxford University Hospitals,568859,217467.0,48,38.22862959010933,D. 35-40%
Portsmouth Hospitals University,465956,158425.0,48,33.99999141549846,C. 30-35%
Princess Alexandra Hospital,408680,193129.0,48,47.25677791915435,F. 45-50%
"Queen Elizabeth Hospital, King's Lynn,",318405,133736.0,48,42.00185298597698,E. 40-45%
Rotherham,402599,104794.0,48,26.029374141515504,B. 25-30%
Royal Berkshire,552007,198802.0,48,36.01439836813663,D. 35-40%
Royal Cornwall Hospitals,301148,163395.0,48,54.25737511124098,G. Over 50%
Royal Devon University Healthcare,572736,250852.0,48,43.798888143926696,E. 40-45%
Royal Free London,994599,389080.0,48,39.11928324882691,D. 35-40%
Royal Surrey,307068,109194.0,48,35.560201649146116,D. 35-40%
Royal United Hospitals Bath,400103,167329.0,48,41.82148096865057,E. 40-45%
Royal Wolverhampton,601539,192023.0,48,31.921953522547998,C. 30-35%
Salisbury,209324,85671.0,48,40.92746173396266,E. 40-45%
Sandwell and West Birmingham Hospitals,634978,294689.0,48,46.409324417538876,F. 45-50%
Sheffield Children's,221096,21058.0,48,9.524369504649565,A. Under 25%
Sheffield Teaching Hospitals,424449,216136.0,48,50.92154770066604,G. Over 50%
Sherwood Forest Hospitals,500617,191886.0,48,38.32990090228658,D. 35-40%
Shrewsbury and Telford Hospital,501690,281744.0,48,56.15898263868125,G. Over 50%
Somerset,530035,235047.0,48,44.34556208552266,E. 40-45%
South Tees Hospitals,422969,201149.0,48,47.5564403065,F. 45-50%
South Tyneside and Sunderland,548504,248549.0,48,45.31398130186835,F. 45-50%
South Warwickshire University,376042,113505.0,48,30.184128368639673,C. 30-35%
St George's University Hospitals,421924,127134.0,48,30.13196689451181,C. 30-35%
Stockport,400121,160459.0,48,40.10261895776527,E. 40-45%
Surrey and Sussex Healthcare,482261,173744.0,48,36.02696465192084,D. 35-40%
Tameside and Glossop Integrated Care,395143,191439.0,48,48.448030206785894,F. 45-50%
Torbay and South Devon,296662,152269.0,48,51.32743661136243,G. Over 50%
United Lincolnshire Teaching Hospitals,619863,317396.0,48,51.20421770617055,G. Over 50%
